PLANT;PN_ASS;PN_COM;DATEFROM_VALID;BOM_QTY
71;E001494;E000850;26/05/11;1
71;E001495;E000538;20/06/11;1
71;E001496;E001493;04/12/12;1
71;E001497;E000233;30/05/11;1
71;E001498;E000129;15/06/11;1
71;E001499;E000233;17/06/11;1
71;E001500;E001500;12/07/16;1
71;E001500;E001500;12/07/16;1
71;E001500;E001500;12/07/16;1
71;E001501;E000812;21/06/11;1
71;E001503;E000812;29/06/11;1
71;E001504;E000812;29/06/11;1
71;E001505;E000810;01/07/11;1
71;E001506;E000810;01/07/11;1
71;E001509;E001403;07/07/11;1
71;E001510;E000129;08/07/11;1
71;E001512;E000813;15/11/11;1
71;E001514;E000131;23/07/11;1
71;E001516;E000131;21/07/11;1
71;E001517;E000131;21/07/11;1
71;E001518;E000850;22/07/11;1
71;E001521;E000129;04/08/11;1
71;E001522;E001552;09/01/12;1
71;E001523;E000812;05/08/11;1
71;E001524;E000812;05/08/11;1
71;E001525;E000812;04/08/11;1
71;E001526;E000812;04/08/11;1
71;E001527;E001403;19/09/11;1
71;E001528;E000241;05/09/11;1
71;E001529;E000131;05/09/11;1
71;E001530;E001595;21/02/12;1
71;E001532;E000128;05/09/11;1
71;E001533;E000129;06/09/11;1
71;E001535;E000233;13/09/11;1
71;E001538;E001403;19/09/11;1
71;E001539;E000233;19/09/11;1
71;E001543;E001403;23/09/11;1
71;E001544;E000812;27/09/11;1
71;E001547;E000233;05/10/11;1
71;E001549;E000812;10/10/11;1
71;E001550;E000812;20/01/11;1
71;E001552;E000241;21/10/11;1
71;E001554;E000233;21/10/11;1
71;E001555;E000642;08/11/11;1
71;E001556;E000812;08/11/11;1
71;E001557;E001403;24/11/11;1
71;E001558;E000813;04/11/11;1
71;E001559;E000233;08/11/11;1
71;E001560;E000812;16/11/11;1
71;E001561;E001560;16/11/11;1
71;E001562;E001563;17/11/11;1
71;E001564;E000813;17/11/11;1
71;E001565;E000812;17/11/11;1
71;E001568;E000241;21/11/11;1
71;E001569;E000812;29/11/11;1
71;E001570;E000129;29/11/11;1
71;E001571;E000129;28/11/11;1
71;E001572;E000131;30/11/11;1
